timestamp,Open,High,Low,Close,Volume
2021-11-09 00:00:00+00:00,67554.13,67772.0,67050.05,67655.08,792.51587203
2021-11-09 01:00:00+00:00,67651.76,67697.04,67376.39,67537.93,525.95796079
2021-11-09 02:00:00+00:00,67542.97,67841.69,67310.25,67650.0,444.47405361
2021-11-09 03:00:00+00:00,67650.0,68568.85,67569.91,68521.24,1159.20181522
2021-11-09 04:00:00+00:00,68521.24,68530.0,68139.67,68300.01,689.29931716
2021-11-09 05:00:00+00:00,68300.01,68415.9,67864.3,68157.01,643.627949
2021-11-09 06:00:00+00:00,68157.01,68236.22,67699.53,68066.14,484.88353073999997
2021-11-09 07:00:00+00:00,68071.19,68198.1,67691.01,67915.31,356.69517954
2021-11-09 08:00:00+00:00,67915.31,68171.08,67739.99,68133.71,402.4156874
2021-11-09 09:00:00+00:00,68130.0,68272.49,67914.11,68266.76,377.56507727
2021-11-09 10:00:00+00:00,68266.76,68276.58,67851.67,67883.99,304.40337085
2021-11-09 11:00:00+00:00,67884.0,67943.19,67335.38,67627.2,477.67743599
2021-11-09 12:00:00+00:00,67627.19,67768.64,67300.68,67578.33,310.90845107
2021-11-09 13:00:00+00:00,67573.84,68119.37,67554.39,68107.08,410.63308291
2021-11-09 14:00:00+00:00,68115.71,68115.71,67171.3,67380.28,1013.07036448
2021-11-09 15:00:00+00:00,67366.34,67557.78,66623.76,66799.3,1465.91385185
2021-11-09 16:00:00+00:00,66799.29,67035.0,66441.27,66710.98,977.61367618
2021-11-09 17:00:00+00:00,66709.01,66971.97,66261.79,66829.99,708.5091174500001
2021-11-09 18:00:00+00:00,66829.99,67275.0,66527.86,66537.83,754.38219334
2021-11-09 19:00:00+00:00,66537.83,66841.53,66344.84,66827.93,490.65721848000004
2021-11-09 20:00:00+00:00,66827.93,67372.53,66690.19,67371.7,494.31690989
2021-11-09 21:00:00+00:00,67371.7,67797.0,67276.47,67726.83,657.74446983
2021-11-09 22:00:00+00:00,67729.35,67742.25,66995.96,67303.15,504.19985248
2021-11-09 23:00:00+00:00,67303.16,67435.16,66752.45,66944.66,549.03080609
2021-11-10 00:00:00+00:00,66938.76,67400.2,66787.79,67005.54,690.2660056
2021-11-10 01:00:00+00:00,67005.54,67312.72,66862.54,67030.78,289.16701647
2021-11-10 02:00:00+00:00,67030.78,67193.01,66792.25,66814.99,354.91973864
2021-11-10 03:00:00+00:00,66814.99,66822.68,66355.32,66485.61,619.84558214
